
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
64:6E:97:14:8D:D7, 2022-09-13 14:33:47, 2022-09-13 14:33:47,  1, 270, WPA2, CCMP, PSK, -93,        1,        0,   0.  0.  0.  0,  12, TP-LINK_8DD7, 
D6:3A:2F:26:07:A8, 2022-09-13 14:33:48, 2022-09-13 14:33:48,  7, 360, WPA2, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,  15, CMCC-GUIDE-LINK, 
AC:54:74:F8:83:76, 2022-09-13 14:33:51, 2022-09-13 14:33:51,  3, 130, WPA2, CCMP TKIP, PSK, -89,        1,        0,   0.  0.  0.  0,   9, CMCC-3Kum, 
58:3B:D9:81:AB:97, 2022-09-13 14:33:49, 2022-09-13 14:33:49,  2, 130, WPA2, CCMP, PSK, -88,        3,        0,   0.  0.  0.  0,   9, CMCC-pEEz, 
A4:C7:4B:82:49:D4, 2022-09-13 14:33:47, 2022-09-13 14:33:47,  1,  -1, WPA, ,   , -87,        0,        1,   0.  0.  0.  0,   0, , 
48:F8:FF:53:7F:89, 2022-09-13 14:33:50, 2022-09-13 14:33:52,  8, 360, WPA2, CCMP, PSK, -81,        2,        0,   0.  0.  0.  0,   9, CMCC-9cmM, 
4A:F8:FF:73:7F:89, 2022-09-13 14:33:50, 2022-09-13 14:33:50,  8, 360, WPA2, CCMP, PSK, -81,        2,        0,   0.  0.  0.  0,   0, , 
A0:1C:8D:CF:3C:68, 2022-09-13 14:33:47, 2022-09-13 14:33:47,  1,  11, OPN, ,   , -70,        2,       11, 192.168.254.  1,   9, CMCC-3ThV, 
02:3A:7C:6A:83:DB, 2022-09-13 14:33:50, 2022-09-13 14:33:52,  8, 195, WPA2 WPA, CCMP, PSK, -62,        2,        0,   0.  0.  0.  0,   0, , 
76:75:95:1C:5B:22, 2022-09-13 14:33:47, 2022-09-13 14:33:47,  1, 405, OPN, ,   , -61,        3,        0,   0.  0.  0.  0,   9, CMCC-3ThV, 
30:CC:21:72:50:D8, 2022-09-13 14:33:52, 2022-09-13 14:33:54,  9, 130, WPA2, CCMP TKIP, PSK, -87,        2,        0,   0.  0.  0.  0,   9, CMCC-zD53, 
E8:68:19:D3:02:E0, 2022-09-13 14:33:54, 2022-09-13 14:33:54, 10, 130, WPA2, CCMP TKIP, PSK, -79,        2,        0,   0.  0.  0.  0,   9, CMCC-Uk6T, 
44:22:95:73:2F:16, 2022-09-13 14:33:55, 2022-09-13 14:33:55,  5, 130, WPA2, CCMP TKIP, PSK, -87,        2,        0,   0.  0.  0.  0,   9, CMCC-5MFj, 
A0:1C:8D:CF:3B:68, 2022-09-13 14:33:55, 2022-09-13 14:33:55, 11, 195, WPA2, CCMP TKIP, PSK, -84,        2,        0,   0.  0.  0.  0,   9, CMCC-3ThV, 
AC:54:74:FB:1F:EE, 2022-09-13 14:33:55, 2022-09-13 14:33:55, 11, 130, WPA2, CCMP TKIP, PSK, -79,        1,        0,   0.  0.  0.  0,  27, CMCC-zdKs偷网死户口本, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
80:8A:8B:AE:0C:FD, 2022-09-13 14:33:50, 2022-09-13 14:33:52, -80,        2, 48:F8:FF:53:7F:89,
9E:C4:C0:8E:19:4A, 2022-09-13 14:33:52, 2022-09-13 14:33:52, -44,        1, 02:3A:7C:6A:83:DB,

